author,post,upvotes,downvotes,total reply count,direct reply count,wordcount,posting utc date,posting utc time,posted at (unix timestamp),posted at (utc unix timestamp)
nisiamo,"WAYWT - August 30, 2017",48,0,6,4,28,2017-08-30,16:46:06,1504140366.0,1504111566.0
ImHereToBlowSunshine,"WAYWT - August 30, 2017",39,0,12,6,73,2017-08-30,17:23:54,1504142634.0,1504113834.0
tirchama,"WAYWT - August 30, 2017",33,0,12,4,36,2017-08-30,17:46:30,1504143990.0,1504115190.0
emaleau,"WAYWT - August 30, 2017",65,0,19,8,95,2017-08-30,16:30:08,1504139408.0,1504110608.0
robotgwen,"WAYWT - August 30, 2017",32,0,3,2,20,2017-08-30,16:18:40,1504138720.0,1504109920.0
totesk,"WAYWT - August 30, 2017",28,0,8,5,97,2017-08-30,16:42:32,1504140152.0,1504111352.0
bikinikills,"WAYWT - August 30, 2017",25,0,6,3,65,2017-08-30,18:06:38,1504145198.0,1504116398.0
iixxxxx,"WAYWT - August 30, 2017",27,0,0,0,161,2017-08-30,23:00:48,1504162848.0,1504134048.0
domesticenginerd,"WAYWT - August 30, 2017",19,0,0,0,17,2017-08-30,16:46:06,1504140366.0,1504111566.0
exmechanistic,"WAYWT - August 30, 2017",31,0,4,2,5,2017-08-30,16:49:08,1504140548.0,1504111748.0
Daniellewhatever,"WAYWT - August 30, 2017",16,0,8,3,130,2017-08-30,19:06:22,1504148782.0,1504119982.0
Lillyeth,"WAYWT - August 30, 2017",17,0,4,3,21,2017-08-31,08:37:28,1504197448.0,1504168648.0
eyeslikeashowroom,"WAYWT - August 30, 2017",25,0,4,3,152,2017-08-30,17:20:07,1504142407.0,1504113607.0
notyourmango,"WAYWT - August 30, 2017",25,0,11,6,99,2017-08-30,18:46:50,1504147610.0,1504118810.0
actinghard,"WAYWT - August 30, 2017",22,0,8,4,36,2017-08-30,16:47:32,1504140452.0,1504111652.0
TheSwedeAtLarge,"WAYWT - August 30, 2017",21,0,2,2,255,2017-08-30,17:27:27,1504142847.0,1504114047.0
,"WAYWT - August 30, 2017",17,0,8,5,1,2017-08-30,18:13:02,1504145582.0,1504116782.0
andIthankya,"WAYWT - August 30, 2017",15,0,1,1,82,2017-08-30,22:18:28,1504160308.0,1504131508.0
rhythmofdevotion,"WAYWT - August 30, 2017",16,0,2,1,56,2017-08-30,16:39:05,1504139945.0,1504111145.0
ruthannr94,"WAYWT - August 30, 2017",26,0,5,4,34,2017-08-30,16:58:27,1504141107.0,1504112307.0
sarahkittyy,"WAYWT - August 30, 2017",5,0,1,1,77,2017-08-31,20:40:24,1504240824.0,1504212024.0
respectablerag,"WAYWT - August 30, 2017",19,0,6,6,77,2017-08-30,23:17:24,1504163844.0,1504135044.0
guineaparade,"WAYWT - August 30, 2017",9,0,1,1,38,2017-08-30,16:41:54,1504140114.0,1504111314.0
LizzyLemonade,"WAYWT - August 30, 2017",9,0,3,3,181,2017-08-30,17:10:22,1504141822.0,1504113022.0
,"WAYWT - August 30, 2017",2,0,1,1,1,2017-08-30,20:03:35,1504152215.0,1504123415.0
Sizzleen,"WAYWT - August 30, 2017",-7,0,19,1,40,2017-08-31,19:40:23,1504237223.0,1504208423.0
ojiua,"WAYWT - August 27, 2017",79,0,15,6,11,2017-08-27,16:18:50,1503879530.0,1503850730.0
recycledstardust,"WAYWT - August 27, 2017",93,0,11,4,136,2017-08-27,20:43:27,1503895407.0,1503866607.0
heyyogagirl,"WAYWT - August 27, 2017",35,0,6,3,79,2017-08-27,18:40:38,1503888038.0,1503859238.0
onemillionwolves,"WAYWT - August 27, 2017",68,0,3,3,57,2017-08-27,17:34:52,1503884092.0,1503855292.0
useafuckingcoaster,"WAYWT - August 27, 2017",83,0,9,5,132,2017-08-27,16:44:49,1503881089.0,1503852289.0
mickeychoo1,"WAYWT - August 27, 2017",25,0,6,3,59,2017-08-27,16:34:44,1503880484.0,1503851684.0
Double_R01,"WAYWT - August 27, 2017",24,0,6,4,44,2017-08-28,06:06:40,1503929200.0,1503900400.0
fitzpleasr,"WAYWT - August 27, 2017",54,0,6,3,252,2017-08-27,16:54:11,1503881651.0,1503852851.0
RosiePB2,"WAYWT - August 27, 2017",41,0,15,6,75,2017-08-27,16:56:29,1503881789.0,1503852989.0
cheesegrater_knees,"WAYWT - August 27, 2017",43,0,6,5,111,2017-08-27,19:12:33,1503889953.0,1503861153.0
respectablerag,"WAYWT - August 27, 2017",59,0,11,5,14,2017-08-27,23:14:24,1503904464.0,1503875664.0
charts_and_facts,"WAYWT - August 27, 2017",37,0,7,5,85,2017-08-27,19:34:15,1503891255.0,1503862455.0
AwkwardBalloonMan,"WAYWT - August 27, 2017",69,0,14,8,78,2017-08-27,17:02:06,1503882126.0,1503853326.0
mariaellax,"WAYWT - August 27, 2017",39,0,8,4,25,2017-08-27,20:19:30,1503893970.0,1503865170.0
emaleau,"WAYWT - August 27, 2017",48,0,11,5,52,2017-08-27,17:58:37,1503885517.0,1503856717.0
BaboonStick,"WAYWT - August 27, 2017",37,0,3,2,289,2017-08-27,16:41:30,1503880890.0,1503852090.0
jieunnie,"WAYWT - August 27, 2017",43,0,4,2,32,2017-08-27,16:14:12,1503879252.0,1503850452.0
AlexisNicole,"WAYWT - August 27, 2017",23,0,5,2,32,2017-08-27,22:54:06,1503903246.0,1503874446.0
spacebarormarsbar,"WAYWT - August 27, 2017",10,0,9,4,132,2017-08-28,00:04:17,1503907457.0,1503878657.0
silkcashewmilk,"WAYWT - August 27, 2017",26,0,5,2,15,2017-08-27,16:38:22,1503880702.0,1503851902.0
robotgwen,"WAYWT - August 27, 2017",18,0,2,1,30,2017-08-27,21:49:21,1503899361.0,1503870561.0
bikinikills,"WAYWT - August 27, 2017",24,0,5,2,64,2017-08-27,16:47:52,1503881272.0,1503852472.0
coffee_for_dinner,"WAYWT - August 27, 2017",26,0,11,4,71,2017-08-27,22:56:44,1503903404.0,1503874604.0
dansheridan,"WAYWT - August 27, 2017",12,0,10,1,38,2017-08-27,19:55:17,1503892517.0,1503863717.0
evrtgurnot,"WAYWT - August 27, 2017",11,0,2,1,125,2017-08-28,14:50:11,1503960611.0,1503931811.0
Daniellewhatever,"WAYWT - August 27, 2017",8,0,6,3,89,2017-08-27,23:56:25,1503906985.0,1503878185.0
aliceismalice,"WAYWT - August 27, 2017",11,0,2,1,57,2017-08-27,16:50:17,1503881417.0,1503852617.0
CinnamonBunBun,"WAYWT - August 27, 2017",4,0,2,2,77,2017-08-28,01:52:52,1503913972.0,1503885172.0
nebbalish,"WAYWT - August 27, 2017",4,0,3,2,115,2017-08-29,21:41:19,1504071679.0,1504042879.0
bitchyfruitcup,"WAYWT - August 27, 2017",10,0,4,3,104,2017-08-27,23:02:03,1503903723.0,1503874923.0
undercoverofbranches,"WAYWT - August 27, 2017",11,0,0,0,15,2017-08-27,17:21:21,1503883281.0,1503854481.0
,"WAYWT - August 27, 2017",-3,0,1,1,1,2017-08-27,23:33:35,1503905615.0,1503876815.0
foxlie,"WAYWT - August 23, 2017",73,0,6,3,18,2017-08-23,17:33:38,1503538418.0,1503509618.0
recycledstardust,"WAYWT - August 23, 2017",172,0,10,5,42,2017-08-23,16:47:47,1503535667.0,1503506867.0
e___e,"WAYWT - August 23, 2017",49,0,9,6,49,2017-08-23,20:33:14,1503549194.0,1503520394.0
evrtgurnot,"WAYWT - August 23, 2017",99,0,15,5,58,2017-08-23,18:33:44,1503542024.0,1503513224.0
Deiji-,"WAYWT - August 23, 2017",45,0,1,1,52,2017-08-23,18:18:56,1503541136.0,1503512336.0
cheesegrater_knees,"WAYWT - August 23, 2017",46,0,6,4,85,2017-08-23,21:31:30,1503552690.0,1503523890.0
ArsenicMuppet,"WAYWT - August 23, 2017",41,0,15,7,79,2017-08-24,01:18:03,1503566283.0,1503537483.0
viabrera,"WAYWT - August 23, 2017",75,0,5,4,13,2017-08-23,17:42:06,1503538926.0,1503510126.0
mickeychoo1,"WAYWT - August 23, 2017",35,0,2,1,98,2017-08-23,21:12:29,1503551549.0,1503522749.0
KimchiChan,"WAYWT - August 23, 2017",30,0,8,4,169,2017-08-23,17:33:04,1503538384.0,1503509584.0
heyyogagirl,"WAYWT - August 23, 2017",31,0,24,11,46,2017-08-23,21:18:33,1503551913.0,1503523113.0
liz-sandwich,"WAYWT - August 23, 2017",32,0,4,3,28,2017-08-23,22:18:11,1503555491.0,1503526691.0
emaleau,"WAYWT - August 23, 2017",59,0,11,4,68,2017-08-23,17:26:10,1503537970.0,1503509170.0
coffee_for_dinner,"WAYWT - August 23, 2017",89,0,4,3,48,2017-08-23,16:29:31,1503534571.0,1503505771.0
guineaparade,"WAYWT - August 23, 2017",51,0,6,6,39,2017-08-23,19:29:54,1503545394.0,1503516594.0
casevintageshop,"WAYWT - August 23, 2017",61,0,2,1,59,2017-08-23,17:19:04,1503537544.0,1503508744.0
robotgwen,"WAYWT - August 23, 2017",18,0,7,3,22,2017-08-23,18:13:46,1503540826.0,1503512026.0
xomandark,"WAYWT - August 23, 2017",37,0,9,4,72,2017-08-23,18:51:41,1503543101.0,1503514301.0
Daniellewhatever,"WAYWT - August 23, 2017",35,0,3,2,35,2017-08-24,00:01:24,1503561684.0,1503532884.0
jieunnie,"WAYWT - August 23, 2017",27,0,0,0,12,2017-08-24,04:13:43,1503576823.0,1503548023.0
memziejane,"WAYWT - August 23, 2017",12,0,8,4,61,2017-08-23,17:16:59,1503537419.0,1503508619.0
ruthannr94,"WAYWT - August 23, 2017",60,0,8,6,10,2017-08-23,17:11:26,1503537086.0,1503508286.0
kinasekinase,"WAYWT - August 23, 2017",21,0,4,3,63,2017-08-23,18:41:37,1503542497.0,1503513697.0
bikinikills,"WAYWT - August 23, 2017",16,0,4,2,98,2017-08-23,17:20:33,1503537633.0,1503508833.0
Dream-On,"WAYWT - August 23, 2017",18,0,4,2,130,2017-08-23,20:25:07,1503548707.0,1503519907.0
MegamiTenchi,"WAYWT - August 23, 2017",15,0,12,5,70,2017-08-24,12:42:38,1503607358.0,1503578558.0
aclrluyz,"WAYWT - August 23, 2017",23,0,7,2,29,2017-08-24,06:56:19,1503586579.0,1503557779.0
rhythmofdevotion,"WAYWT - August 23, 2017",14,0,5,3,56,2017-08-23,16:42:45,1503535365.0,1503506565.0
respectablerag,"WAYWT - August 23, 2017",18,0,3,1,37,2017-08-23,23:20:39,1503559239.0,1503530439.0
ratioyouknow,"WAYWT - August 23, 2017",12,0,0,0,76,2017-08-23,16:28:29,1503534509.0,1503505709.0
,"WAYWT - August 23, 2017",7,0,5,5,1,2017-08-23,19:37:53,1503545873.0,1503517073.0
haroldelgato,"WAYWT - August 23, 2017",8,0,0,0,34,2017-08-23,18:26:47,1503541607.0,1503512807.0
,"WAYWT - August 23, 2017",2,0,1,1,1,2017-08-23,19:16:16,1503544576.0,1503515776.0
Meowbel,"WAYWT - August 23, 2017",3,0,7,2,43,2017-08-23,17:17:06,1503537426.0,1503508626.0
aclrluyz,"WAYWT - August 23, 2017",-4,0,0,0,23,2017-08-24,17:01:30,1503622890.0,1503594090.0
BaboonStick,"WAYWT - August 20, 2017",88,0,7,4,246,2017-08-20,16:58:48,1503277128.0,1503248328.0
kinasekinase,"WAYWT - August 20, 2017",33,0,3,3,40,2017-08-20,16:36:15,1503275775.0,1503246975.0
liz-sandwich,"WAYWT - August 20, 2017",32,0,5,3,43,2017-08-20,19:46:04,1503287164.0,1503258364.0
ElleFuego,"WAYWT - August 20, 2017",20,0,1,1,34,2017-08-21,00:12:11,1503303131.0,1503274331.0
full_boyle,"WAYWT - August 20, 2017",95,0,10,6,139,2017-08-20,20:51:21,1503291081.0,1503262281.0
Kymeberlee,"WAYWT - August 20, 2017",20,0,3,3,76,2017-08-20,18:41:53,1503283313.0,1503254513.0
BlueKowala,"WAYWT - August 20, 2017",40,0,4,3,104,2017-08-20,18:47:33,1503283653.0,1503254853.0
sarahaw13,"WAYWT - August 20, 2017",53,0,11,5,65,2017-08-20,17:58:33,1503280713.0,1503251913.0
somethings_nothings,"WAYWT - August 20, 2017",63,0,4,2,18,2017-08-20,17:07:54,1503277674.0,1503248874.0
dansheridan,"WAYWT - August 20, 2017",36,0,5,2,47,2017-08-20,23:42:02,1503301322.0,1503272522.0
e___e,"WAYWT - August 20, 2017",68,0,8,4,41,2017-08-20,19:51:33,1503287493.0,1503258693.0
emaleau,"WAYWT - August 20, 2017",58,0,13,5,92,2017-08-20,17:31:13,1503279073.0,1503250273.0
wanderedoff,"WAYWT - August 20, 2017",108,0,14,7,120,2017-08-20,21:13:09,1503292389.0,1503263589.0
rosedore,"WAYWT - August 20, 2017",13,0,0,0,11,2017-08-20,18:57:42,1503284262.0,1503255462.0
bikinikills,"WAYWT - August 20, 2017",26,0,10,6,99,2017-08-20,19:06:33,1503284793.0,1503255993.0
respectablerag,"WAYWT - August 20, 2017",24,0,8,4,23,2017-08-21,07:46:48,1503330408.0,1503301608.0
kcwashere,"WAYWT - August 20, 2017",35,0,6,3,76,2017-08-20,16:18:22,1503274702.0,1503245902.0
throwawy9003,"WAYWT - August 20, 2017",10,0,10,3,9,2017-08-21,02:25:53,1503311153.0,1503282353.0
abexaem,"WAYWT - August 20, 2017",28,0,9,5,26,2017-08-21,16:22:40,1503361360.0,1503332560.0
,"WAYWT - August 20, 2017",39,0,2,1,1,2017-08-20,17:01:40,1503277300.0,1503248500.0
foreignfishes,"WAYWT - August 20, 2017",27,0,3,2,113,2017-08-20,17:13:54,1503278034.0,1503249234.0
spacebarormarsbar,"WAYWT - August 20, 2017",13,0,11,4,216,2017-08-20,16:14:52,1503274492.0,1503245692.0
staringspace,"WAYWT - August 20, 2017",7,0,2,1,83,2017-08-22,15:22:36,1503444156.0,1503415356.0
haroldelgato,"WAYWT - August 20, 2017",9,0,2,1,92,2017-08-20,19:51:41,1503287501.0,1503258701.0
ahlay,"WAYWT - August 20, 2017",6,0,0,0,63,2017-08-22,05:22:24,1503408144.0,1503379344.0
jieunnie,"WAYWT - August 20, 2017",5,0,2,1,22,2017-08-22,01:37:04,1503394624.0,1503365824.0
recycledstardust,"WAYWT - August 16, 2017",70,0,6,4,135,2017-08-16,17:50:23,1502934623.0,1502905823.0
TraumaticTramAddict,"WAYWT - August 16, 2017",23,0,4,2,267,2017-08-17,18:27:50,1503023270.0,1502994470.0
jieunnie,"WAYWT - August 16, 2017",22,0,3,1,54,2017-08-17,19:44:14,1503027854.0,1502999054.0
emaleau,"WAYWT - August 16, 2017",86,0,24,12,66,2017-08-16,16:36:59,1502930219.0,1502901419.0
salted_sky,"WAYWT - August 16, 2017",58,0,2,1,33,2017-08-16,18:45:44,1502937944.0,1502909144.0
robotgwen,"WAYWT - August 16, 2017",19,0,0,0,18,2017-08-16,16:56:37,1502931397.0,1502902597.0
simpletongue,"WAYWT - August 16, 2017",39,0,4,2,60,2017-08-16,17:43:56,1502934236.0,1502905436.0
laselik,"WAYWT - August 16, 2017",30,0,7,3,10,2017-08-16,16:27:33,1502929653.0,1502900853.0
kierkegaardashians,"WAYWT - August 16, 2017",32,0,5,3,53,2017-08-16,18:09:43,1502935783.0,1502906983.0
sarahaw13,"WAYWT - August 16, 2017",38,0,6,4,40,2017-08-16,16:46:26,1502930786.0,1502901986.0
coffee_for_dinner,"WAYWT - August 16, 2017",45,0,10,5,116,2017-08-16,16:12:52,1502928772.0,1502899972.0
rhythmofdevotion,"WAYWT - August 16, 2017",13,0,1,1,93,2017-08-16,16:12:10,1502928730.0,1502899930.0
MegamiTenchi,"WAYWT - August 16, 2017",12,0,6,1,116,2017-08-17,14:27:26,1503008846.0,1502980046.0
mkkxx,"WAYWT - August 16, 2017",27,0,5,4,19,2017-08-16,17:11:43,1502932303.0,1502903503.0
kinasekinase,"WAYWT - August 16, 2017",23,0,8,4,51,2017-08-16,17:28:24,1502933304.0,1502904504.0
Deiji-,"WAYWT - August 16, 2017",25,0,12,5,74,2017-08-16,18:05:01,1502935501.0,1502906701.0
BlueKowala,"WAYWT - August 16, 2017",27,0,4,3,27,2017-08-16,19:16:00,1502939760.0,1502910960.0
respectablerag,"WAYWT - August 16, 2017",26,0,4,2,112,2017-08-17,05:08:49,1502975329.0,1502946529.0
memziejane,"WAYWT - August 16, 2017",10,0,7,3,100,2017-08-16,16:34:05,1502930045.0,1502901245.0
paulapaloooza,"WAYWT - August 16, 2017",13,0,3,3,84,2017-08-16,18:31:44,1502937104.0,1502908304.0
superfloree,"WAYWT - August 16, 2017",9,0,8,3,256,2017-08-16,18:11:52,1502935912.0,1502907112.0
thecurvynerd,"WAYWT - August 16, 2017",40,0,8,7,79,2017-08-16,17:39:14,1502933954.0,1502905154.0
ruthannr94,"WAYWT - August 16, 2017",66,0,13,7,96,2017-08-16,16:53:03,1502931183.0,1502902383.0
erratic_static,"WAYWT - August 16, 2017",20,0,1,1,44,2017-08-16,16:35:31,1502930131.0,1502901331.0
OrigamiKoi,"WAYWT - August 16, 2017",14,0,4,2,76,2017-08-16,18:18:02,1502936282.0,1502907482.0
Lillyeth,"WAYWT - August 16, 2017",14,0,4,2,28,2017-08-16,16:49:07,1502930947.0,1502902147.0
LizzyLemonade,"WAYWT - August 16, 2017",11,0,2,1,107,2017-08-16,18:04:41,1502935481.0,1502906681.0
Lillyeth,"WAYWT - August 13, 2017",90,0,12,6,31,2017-08-13,16:35:26,1502670926.0,1502642126.0
recycledstardust,"WAYWT - August 13, 2017",153,0,13,8,159,2017-08-13,19:34:43,1502681683.0,1502652883.0
xomandark,"WAYWT - August 13, 2017",63,0,16,8,89,2017-08-13,18:33:29,1502678009.0,1502649209.0
Bloopity_bloop_bloop,"WAYWT - August 13, 2017",95,0,25,8,203,2017-08-13,16:15:01,1502669701.0,1502640901.0
fitzpleasr,"WAYWT - August 13, 2017",39,0,2,2,119,2017-08-13,17:02:02,1502672522.0,1502643722.0
full_boyle,"WAYWT - August 13, 2017",83,0,14,8,167,2017-08-13,21:12:01,1502687521.0,1502658721.0
suckckit,"WAYWT - August 13, 2017",35,0,11,7,32,2017-08-13,17:54:31,1502675671.0,1502646871.0
foxlie,"WAYWT - August 13, 2017",66,0,6,4,50,2017-08-13,19:46:20,1502682380.0,1502653580.0
coffee_for_dinner,"WAYWT - August 13, 2017",35,0,13,7,61,2017-08-13,16:15:55,1502669755.0,1502640955.0
bikinikills,"WAYWT - August 13, 2017",36,0,10,6,160,2017-08-13,17:04:25,1502672665.0,1502643865.0
villonious,"WAYWT - August 13, 2017",31,0,7,4,15,2017-08-13,17:51:47,1502675507.0,1502646707.0
kinasekinase,"WAYWT - August 13, 2017",31,0,2,2,58,2017-08-13,17:37:12,1502674632.0,1502645832.0
etceteraism,"WAYWT - August 13, 2017",29,0,0,0,33,2017-08-13,22:56:10,1502693770.0,1502664970.0
TheCamelSmoothie,"WAYWT - August 13, 2017",24,0,9,4,11,2017-08-13,19:11:15,1502680275.0,1502651475.0
aloraa,"WAYWT - August 13, 2017",43,0,6,5,15,2017-08-13,19:32:02,1502681522.0,1502652722.0
streetwearlurk,"WAYWT - August 13, 2017",36,0,5,2,139,2017-08-13,17:02:48,1502672568.0,1502643768.0
LADYDEADP00L,"WAYWT - August 13, 2017",15,0,2,1,101,2017-08-15,14:21:29,1502835689.0,1502806889.0
janeway_love,"WAYWT - August 13, 2017",29,0,4,3,9,2017-08-13,16:32:10,1502670730.0,1502641930.0
cheesegrater_knees,"WAYWT - August 13, 2017",35,0,5,3,119,2017-08-13,20:09:06,1502683746.0,1502654946.0
th3funkyhomosapi3n,"WAYWT - August 13, 2017",28,0,1,1,8,2017-08-14,01:10:31,1502701831.0,1502673031.0
e___e,"WAYWT - August 13, 2017",38,0,12,5,58,2017-08-13,19:59:50,1502683190.0,1502654390.0
00clemmy,"WAYWT - August 13, 2017",25,0,6,4,38,2017-08-13,17:16:14,1502673374.0,1502644574.0
liz-sandwich,"WAYWT - August 13, 2017",11,0,3,2,38,2017-08-15,12:49:35,1502830175.0,1502801375.0
IllusionOfColours,"WAYWT - August 13, 2017",21,0,2,2,26,2017-08-13,16:38:02,1502671082.0,1502642282.0
BaboonStick,"WAYWT - August 13, 2017",30,0,7,3,85,2017-08-13,17:19:52,1502673592.0,1502644792.0
emaleau,"WAYWT - August 13, 2017",32,0,4,2,66,2017-08-13,18:03:57,1502676237.0,1502647437.0
ruthannr94,"WAYWT - August 13, 2017",36,0,3,3,9,2017-08-13,17:05:00,1502672700.0,1502643900.0
exmechanistic,"WAYWT - August 13, 2017",20,0,1,1,3,2017-08-13,17:50:51,1502675451.0,1502646651.0
Smelladroid,"WAYWT - August 13, 2017",15,0,2,2,38,2017-08-13,23:42:39,1502696559.0,1502667759.0
MegamiTenchi,"WAYWT - August 13, 2017",3,0,0,0,7,2017-08-14,03:26:56,1502710016.0,1502681216.0
e___e,"WAYWT - August 09, 2017",102,0,25,11,103,2017-08-09,19:15:25,1502334925.0,1502306125.0
kinasekinase,"WAYWT - August 09, 2017",35,0,4,3,50,2017-08-09,17:35:30,1502328930.0,1502300130.0
sansserifplz,"WAYWT - August 09, 2017",35,0,7,5,149,2017-08-09,17:25:07,1502328307.0,1502299507.0
sarahaw13,"WAYWT - August 09, 2017",59,0,12,6,54,2017-08-09,17:19:35,1502327975.0,1502299175.0
streetwearlurk,"WAYWT - August 09, 2017",27,0,10,6,196,2017-08-09,16:56:07,1502326567.0,1502297767.0
emaleau,"WAYWT - August 09, 2017",108,0,23,12,54,2017-08-09,17:03:37,1502327017.0,1502298217.0
paulapaloooza,"WAYWT - August 09, 2017",23,0,2,2,96,2017-08-09,20:39:03,1502339943.0,1502311143.0
Rogue_Fibre,"WAYWT - August 09, 2017",22,0,5,3,138,2017-08-09,23:38:21,1502350701.0,1502321901.0
lizzybones,"WAYWT - August 09, 2017",67,0,11,7,63,2017-08-09,18:35:28,1502332528.0,1502303728.0
TraumaticTramAddict,"WAYWT - August 09, 2017",39,0,10,5,235,2017-08-09,18:29:43,1502332183.0,1502303383.0
robotgwen,"WAYWT - August 09, 2017",33,0,6,2,37,2017-08-09,19:28:46,1502335726.0,1502306926.0
gotpaidtowrite,"WAYWT - August 09, 2017",16,0,0,0,120,2017-08-11,01:32:59,1502443979.0,1502415179.0
coffee_for_dinner,"WAYWT - August 09, 2017",48,0,16,8,28,2017-08-09,16:11:59,1502323919.0,1502295119.0
domesticenginerd,"WAYWT - August 09, 2017",27,0,2,2,29,2017-08-09,16:28:51,1502324931.0,1502296131.0
bikinikills,"WAYWT - August 09, 2017",30,0,7,5,93,2017-08-09,17:10:21,1502327421.0,1502298621.0
aclrluyz,"WAYWT - August 09, 2017",13,0,2,1,60,2017-08-11,11:57:33,1502481453.0,1502452653.0
memziejane,"WAYWT - August 09, 2017",26,0,4,2,68,2017-08-09,17:32:31,1502328751.0,1502299951.0
galaxystarsmoon,"WAYWT - August 09, 2017",27,0,3,2,77,2017-08-09,16:58:59,1502326739.0,1502297939.0
spookybuttwhispers,"WAYWT - August 09, 2017",18,0,2,1,11,2017-08-09,23:21:49,1502349709.0,1502320909.0
LizzyLemonade,"WAYWT - August 09, 2017",18,0,2,1,31,2017-08-09,17:25:31,1502328331.0,1502299531.0
MegamiTenchi,"WAYWT - August 09, 2017",10,0,3,2,50,2017-08-11,14:36:59,1502491019.0,1502462219.0
foxlie,"WAYWT - August 06, 2017",81,0,24,13,76,2017-08-06,18:10:14,1502071814.0,1502043014.0
haroldelgato,"WAYWT - August 06, 2017",31,0,6,3,195,2017-08-06,16:51:58,1502067118.0,1502038318.0
CinnamonBunBun,"WAYWT - August 06, 2017",28,0,4,3,73,2017-08-06,23:27:34,1502090854.0,1502062054.0
emaleau,"WAYWT - August 06, 2017",70,0,16,7,63,2017-08-06,17:58:10,1502071090.0,1502042290.0
bikinikills,"WAYWT - August 06, 2017",25,0,2,1,136,2017-08-06,16:35:47,1502066147.0,1502037347.0
kinasekinase,"WAYWT - August 06, 2017",22,0,2,2,53,2017-08-06,16:25:06,1502065506.0,1502036706.0
thisisthewell,"WAYWT - August 06, 2017",23,0,7,4,183,2017-08-06,19:23:50,1502076230.0,1502047430.0
notesofacrocodile,"WAYWT - August 06, 2017",23,0,4,3,101,2017-08-06,18:05:31,1502071531.0,1502042731.0
BaboonStick,"WAYWT - August 06, 2017",43,0,7,4,138,2017-08-06,16:50:17,1502067017.0,1502038217.0
NifflerPlease,"WAYWT - August 06, 2017",44,0,7,4,19,2017-08-06,20:50:51,1502081451.0,1502052651.0
Lillyeth,"WAYWT - August 06, 2017",63,0,10,5,64,2017-08-06,18:39:27,1502073567.0,1502044767.0
somethings_nothings,"WAYWT - August 06, 2017",60,0,10,5,27,2017-08-06,16:38:15,1502066295.0,1502037495.0
2000srh,"WAYWT - August 06, 2017",69,0,10,8,56,2017-08-06,16:52:57,1502067177.0,1502038377.0
BlueKowala,"WAYWT - August 06, 2017",18,0,0,0,46,2017-08-07,00:42:58,1502095378.0,1502066578.0
charts_and_facts,"WAYWT - August 06, 2017",51,0,18,10,40,2017-08-06,19:41:42,1502077302.0,1502048502.0
e___e,"WAYWT - August 06, 2017",54,0,13,8,97,2017-08-06,19:48:53,1502077733.0,1502048933.0
asdfjklOHFUCKYOU,"WAYWT - August 06, 2017",37,0,4,3,129,2017-08-06,19:20:37,1502076037.0,1502047237.0
villonious,"WAYWT - August 06, 2017",58,0,19,9,49,2017-08-06,16:07:26,1502064446.0,1502035646.0
heyyogagirl,"WAYWT - August 06, 2017",25,0,3,2,13,2017-08-06,17:10:50,1502068250.0,1502039450.0
spookybuttwhispers,"WAYWT - August 06, 2017",12,0,0,0,13,2017-08-06,21:21:45,1502083305.0,1502054505.0
let-the-rainfalldown,"WAYWT - August 06, 2017",11,0,0,0,26,2017-08-08,17:13:40,1502241220.0,1502212420.0
302149,"WAYWT - August 06, 2017",14,0,7,4,150,2017-08-06,19:37:05,1502077025.0,1502048225.0
evilpenguin234,"WAYWT - August 06, 2017",6,0,0,0,94,2017-08-06,21:09:51,1502082591.0,1502053791.0
wanderedoff,"WAYWT - August 06, 2017",24,0,4,2,87,2017-08-06,18:13:45,1502072025.0,1502043225.0
respectablerag,"WAYWT - August 06, 2017",27,0,6,3,29,2017-08-07,00:59:11,1502096351.0,1502067551.0
nmarie93,"WAYWT - August 06, 2017",15,0,6,3,35,2017-08-06,16:28:25,1502065705.0,1502036905.0
xtinamariet,"WAYWT - August 06, 2017",8,0,4,4,125,2017-08-06,19:53:24,1502078004.0,1502049204.0
,"WAYWT - August 06, 2017",-1,0,2,1,1,2017-08-07,00:16:02,1502093762.0,1502064962.0
ayiyi,"WAYWT - August 02, 2017",146,0,19,8,27,2017-08-02,17:46:40,1501724800.0,1501696000.0
PM_ME_ITTYBITTYKITTY,"WAYWT - August 02, 2017",43,0,4,3,57,2017-08-02,23:57:02,1501747022.0,1501718222.0
caffeinatedlackey,"WAYWT - August 02, 2017",34,0,8,4,119,2017-08-02,16:09:04,1501718944.0,1501690144.0
Deiji-,"WAYWT - August 02, 2017",26,0,3,2,47,2017-08-02,16:30:20,1501720220.0,1501691420.0
LizzyLemonade,"WAYWT - August 02, 2017",22,0,10,5,156,2017-08-02,17:04:29,1501722269.0,1501693469.0
Daniellewhatever,"WAYWT - August 02, 2017",21,0,1,1,40,2017-08-03,01:19:38,1501751978.0,1501723178.0
day_dreamers_anon,"WAYWT - August 02, 2017",19,0,1,1,161,2017-08-02,18:07:43,1501726063.0,1501697263.0
heyyogagirl,"WAYWT - August 02, 2017",20,0,4,2,37,2017-08-02,20:47:41,1501735661.0,1501706861.0
e___e,"WAYWT - August 02, 2017",59,0,13,6,93,2017-08-02,19:41:27,1501731687.0,1501702887.0
emaleau,"WAYWT - August 02, 2017",50,0,10,5,75,2017-08-02,17:34:08,1501724048.0,1501695248.0
